p01 | imgs:0 | chars:   38 | Graves / decires / de / aguda / intuición
p36 | imgs:1 | chars:  731 | Madre Tierra, Padre Sol.​ / Ni Demonio, ni Señor.​ / Pareciera más coherente​ / adorarlos nuevamente. / Que el engaño santurrón de los muertos vivos.​ / Que este rumbo destructivo o el miedo al castigo.
p37 | imgs:1 | chars:  626 | Yo tengo amigos en el más allá, esperándome / Desencarnados espíritus graves, mentores de mi expresión / Amigos míos que se fueron ya / Y otros que vivo, no los recuerdo / Son los que intuyo y visten mi cantar con pasión
p38 | imgs:1 | chars:    2 | 38
p39 | imgs:1 | chars:  281 | Destrucción del entramado social / “El Vaciamiento” / “Si estás pensando sólo en vos, / Jamás lo entenderás.” / El fin de los inicuos / El fin de los inicuos - 1986
p40 | imgs:2 | chars:    2 | 40
p41 | imgs:0 | chars:  814 | En las mugrientas esquinas de Liniers pierdo los días porque / no me toca escapar​ / El gran apego a lo ilusorio se refleja en la vidrieras de un / trucho centro comercial / La idolatría populosa se dibuja en largas fila
p42 | imgs:1 | chars:  524 | En la esquina, un policía está peleando con su hembra porque / ella nunca le fue fiel​ / Bajo el paso de las vías, los mendigos se revuelcan.​ / Muy pocos los quieren mirar / Y la imberbe horda humana que desciende de lo
p43 | imgs:1 | chars:  878 | De Pacheco a La Paternal / De Dock Sud a 3 de Febrero / Mil amigos, con el corazón, esperan esta canción / Para atravesar el trago amargo de este mal momento / Mientras el mundo, / Policía y ladrón
p44 | imgs:1 | chars:  780 | Como estaba ahí Dios, estuve yo también​ / Ante el desfile de las inclemencias, contemplando tanta / miseria / y yo pensé pa´mis adentros: “Puta que tiene paciencia” / ¿Cómo tener tanto poder y permitir que esto pueda su
p45 | imgs:1 | chars:  519 | Planetaria depredación, respaldada en las armas.​ / Dando pasos al abismo, vas restando esperanzas / Es de muchos no querer ver, o no darte importancia​ / A tu marcha de exterminio, que diariamente avanza. / ​ / Mientras
p46 | imgs:1 | chars:    2 | 46
p47 | imgs:0 | chars: 1202 | Los políticos son los representantes del pueblo. Nunca lo / entendí hasta que terminé convencido de que es una gran / verdad. / Cuando veo la falta de organización, cuando noto la cantidad / de falencias en cada barrio y
